run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
255539,5055949,38761,166624,310566,139981,55241,38761,166624,310566,139981,55241
255540,660028,5207,22196,41736,18534,7282,5207,22196,41736,18534,7282
255541,145489,1127,4836,9161,4155,1559,1127,4836,9161,4155,1559
255542,4947026,39188,169057,315578,141966,56125,39188,169057,315578,141966,56125
255543,1371582,10923,47197,88576,39837,16132,10923,47197,88576,39837,16132
255577,2511967,19058,82240,153486,69407,27188,19058,82240,153486,69407,27188
255582,1557204,12220,52101,98044,43842,17474,12220,52101,98044,43842,17474
255583,3166570,25253,107580,200125,90648,35391,25253,107580,200125,90648,35391
255591,6234660,49923,213023,401150,180078,71630,49923,213023,401150,180078,71630
255614,1053779,7926,35045,64806,29781,11899,7926,35045,64806,29781,11899
255615,2931612,22929,98662,184019,83567,32718,22929,98662,184019,83567,32718
255616,2354261,18787,79079,149648,66694,26465,18787,79079,149648,66694,26465
255617,3199791,25502,108443,204103,91177,36436,25502,108443,204103,91177,36436
255618,1376119,10978,46932,88463,39439,15859,10978,46932,88463,39439,15859
