run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
262705,540411,4333,46891,61974,12576,2630,2298,28313,36011,5970,1237
262706,360233,3009,31565,41672,8508,1713,1530,18727,24549,3898,830
262708,259169,2034,23067,30088,6223,1190,1112,13866,17529,2875,579
262713,369890,3073,32592,43273,8969,1863,1649,19748,25399,3984,868
262717,344171,2834,30295,40586,8156,1637,1486,18552,23584,4103,826
262719,382254,3196,34232,44908,9320,1840,1654,20638,26321,4241,848
262727,386386,3281,34209,45358,9250,1881,1710,20649,26437,4264,880
262760,27302,206,2265,2929,600,128,117,1342,1797,294,52
262768,179776,1459,15483,20389,4254,833,702,9102,11880,1931,396
262776,1593425,12916,139284,183046,37898,7524,6695,82319,106344,16993,3620
262777,302974,2414,27233,35291,7382,1454,1265,16041,20090,3333,622
262778,1766832,14585,155837,205816,41831,8619,7766,92293,119508,18827,3805
262858,111498,982,10195,13565,2698,562,515,6397,7936,1238,253
263487,313409,2656,28303,36856,7648,1540,1351,20386,23052,3764,801
