run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
264076,1756556,14727,157123,205560,41854,8481,6868,93077,110419,18964,3822
264078,1136632,9384,100910,133802,27816,5600,4681,60363,72305,12227,2495
264082,452629,3742,40672,53337,10945,2239,1884,21364,27383,4517,946
264085,1031647,8645,92571,122237,25117,5104,4126,49172,63134,10718,2139
264086,113118,908,10002,13480,2748,591,455,5161,6901,1105,240
264109,1726848,13981,151472,198794,41278,8341,6677,79600,102839,17155,3456
264110,549369,4594,48282,63817,13222,2674,2194,25714,32874,5522,1114
264129,168064,1364,14539,18974,3957,843,642,7384,9776,1575,328
264137,521048,4197,44996,59646,12202,2529,2056,26241,31703,5720,1154
264138,137038,1110,11731,15622,3227,629,571,6012,8021,1256,283
264139,1698562,14109,149113,197934,40514,8283,6691,78396,100965,16454,3444
264164,683485,5757,60989,79904,16629,3370,2695,31914,41404,6750,1289
264168,349068,2889,30766,40278,8351,1695,1385,15461,20498,3432,685
264188,1405502,11426,121083,159187,33102,6680,5402,62990,81916,13580,2792
264190,1363587,11247,118678,157506,32412,6585,5306,61805,80731,13272,2740
264197,460040,3894,40474,53572,11078,2204,1876,22213,28482,4622,976
264198,430935,3533,37546,49893,10537,2029,1758,20889,26642,4342,880
264232,143725,1113,12027,15948,3143,667,531,6116,8114,1345,300
264233,1163512,9168,99442,130846,26919,5475,4528,53617,68024,11325,2281
264235,895188,7281,76352,101278,20922,4246,3567,40787,52813,8703,1771
264238,316487,2545,27130,36364,7428,1567,1216,15019,18627,3108,645
264259,205383,1575,17276,22581,4807,931,744,8452,11332,1847,398
264260,273950,2235,23307,30720,6400,1306,1006,11146,14855,2531,523
264261,148165,1175,12674,16379,3379,666,543,6236,8153,1380,279
264262,138941,1120,11780,15633,3170,642,489,5655,7623,1355,274
264264,228119,1879,19524,26160,5206,1113,809,9667,12811,2174,451
264265,233705,1923,20058,26453,5371,1190,862,10097,13199,2218,434
264266,121298,981,10542,14000,2795,537,509,5205,6960,1148,259
264267,143108,1173,12315,16366,3375,744,534,6239,7965,1295,291
264277,522639,4327,44485,60043,12101,2534,2004,22221,29505,4850,1021
264279,480997,4009,42025,55432,11158,2257,1805,20502,27043,4546,911
264281,155473,1228,13483,17744,3530,778,565,6881,8828,1488,318
264305,42956,328,3658,4725,1025,213,162,1867,2408,425,87
264306,780490,6239,66745,87672,18149,3584,2863,32968,43273,7199,1479
264312,152469,1243,13138,17301,3492,713,549,6709,8513,1454,279
264336,607802,4788,51380,67809,13926,2774,2338,27216,34247,5864,1202
264345,1520880,12237,131693,174290,35656,7322,5821,65073,85717,14529,2854
264346,388075,3159,33734,44744,9101,1882,1455,21863,22800,8057,1214
264347,542779,4451,47537,62549,12830,2621,2037,22857,30358,4973,1046
