run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
271868,1501765,12964,490,2654,450,783,5467,82,1078,21,40
271870,1366678,11819,180,2159,176,462,5010,81,984,21,38
271871,1562637,13660,234,2652,214,569,5654,94,1076,19,42
271873,1755437,15318,229,2904,245,632,6409,98,1273,20,39
271874,1327304,11458,179,2168,167,478,4863,69,931,20,41
271880,1616605,13931,213,2568,216,549,6006,77,1141,19,44
271881,1712781,15019,205,2699,175,595,6583,104,1246,22,46
271886,2058053,17885,231,3187,197,671,7816,114,1443,23,49
272018,252765,2102,23,369,876,82,975,17,181,96,9
272020,1023166,8966,146,1636,5129,369,3905,64,753,543,25
272076,7017573,59362,894,10847,825,2368,27088,526,5651,119,242
272100,9967698,83448,1183,15151,1087,3272,37517,626,7437,127,260
272101,8582362,72804,999,13392,972,2738,32669,489,6486,106,224
272123,22981064,194731,2724,35629,2555,7660,86913,1343,17273,273,541
272151,374203,3065,39257,53077,36272,11119,1444,23060,27497,4708,959
272152,434205,3582,34821,46852,32039,9803,1707,21317,25044,4342,913
272153,1415132,11931,114090,153310,105376,32597,5576,66236,79891,13305,2841
272154,178048,1579,14435,19269,13321,4017,689,8311,10068,1637,345
272155,1723625,14754,138260,188651,127752,39797,6805,79781,97369,15982,3376
272156,249199,2088,19854,27084,18611,5645,969,11881,14398,2416,486
272194,1243762,10373,93316,131814,86687,27521,4887,54992,68357,11096,2403
272335,463234,3894,34631,47630,32370,10117,1821,25354,27132,6626,1203
272340,1055625,8781,79978,110194,75379,23481,4109,48063,59669,9665,2110
272359,2681225,22583,201945,284306,189878,60419,10458,123031,153905,24551,5286
272360,2842608,24062,215448,304319,201726,64758,11237,133466,166029,26478,5854
272388,102532,853,7381,10329,6807,2142,384,4552,5854,924,206
272389,579953,4738,41247,59760,38429,12687,2196,25919,33097,5141,1180
272394,669364,5574,47493,69205,44460,14348,2595,27223,36286,5617,1219
272395,994037,8293,71499,103176,67094,21678,3782,39780,53877,8120,1783
272399,74020,635,5454,7654,4965,1637,285,3099,4087,647,156
272400,3468784,28648,251019,365516,235892,77321,13277,136198,186765,28419,6400
272411,940845,7958,69042,100254,64809,21329,3599,38791,52271,7899,1818
272413,1255565,10590,92170,134572,85707,28521,4912,49491,68027,10341,2259
272461,566326,4680,39998,57641,37195,12261,2097,21299,28728,4471,959
272462,993185,7971,71995,103062,66875,21861,3758,37356,51188,7964,1737
272463,2539348,20962,185588,269642,172219,57207,9622,97588,134202,20423,4587
272466,113705,977,8367,12243,7695,2621,453,4942,6417,935,194
272468,1118756,9477,81992,120198,75812,25124,4359,48831,63046,9758,2208
272521,465813,3710,32563,47824,30431,10061,1665,16644,23391,3491,780
272574,544248,4553,39684,57777,36040,11951,1920,17028,24966,3849,856
272575,127816,1067,9245,13494,8508,2826,425,3900,5891,931,209
272585,1646747,13831,119718,176865,110640,37240,5745,52146,76432,12080,2751
272607,660725,5347,46578,68710,42977,14528,2215,20265,29892,4661,1026
272608,690092,5748,49219,72704,45303,15169,2401,21214,31367,4844,1059
272610,1497827,12539,108153,158611,100059,33557,5160,46735,69304,10766,2495
272690,61193,450,4329,6311,3976,1272,194,1828,2763,453,97
272691,515727,4177,37309,54391,33640,11259,1827,16363,23646,3666,822
272692,174188,1398,12611,18134,11311,3799,582,5188,7773,1202,265
272712,58168,483,4208,6078,3839,1307,207,2035,2724,442,100
272746,3779587,31357,272992,405777,251294,85179,13588,138368,188117,29719,6832
272747,1754259,15084,129805,191849,118003,40339,6456,65101,89081,13789,3322
272749,190282,1633,14131,20687,13127,4323,715,7236,10014,1567,368
272760,267907,2310,20583,29628,18459,6221,977,10226,14083,2157,517
272763,786586,6693,58627,87337,52996,18260,2903,29231,40539,6233,1426
272764,407674,3510,30663,45206,28015,9455,1541,15623,21357,3330,805
272783,2446164,20360,196202,267932,173679,56685,8960,91363,123087,19431,4457
272784,2061789,17496,393647,255194,387061,75199,7631,76942,105795,16196,3774
272828,274862,2439,19599,28834,17907,5906,1066,11482,14455,2351,527
272870,1802464,16142,138694,205774,125495,42600,6633,73330,94722,14862,3401
272871,1004098,8759,124795,118717,117919,29048,3705,40531,52785,8324,1907
272873,2115256,18549,162570,243349,148715,50657,8062,83702,112521,17354,4084
272880,1720487,15246,130308,195057,119042,40494,6393,65902,89922,13767,3172
272903,679726,5763,53072,73718,48226,15279,2454,28653,35753,5762,1294
272905,201139,1733,15354,22950,13797,4693,731,7822,10787,1636,382
272932,208844,1747,15415,23194,13649,4842,769,8110,11188,1653,393
272933,813976,6665,60375,91234,54327,18384,2837,30380,42377,6433,1510
272934,193102,1685,15221,22023,13526,4560,648,7164,10050,1552,360
272935,1678385,14001,126064,190186,114113,39493,6132,63457,88257,13336,3233
272947,497123,4197,37442,57271,33680,11740,1775,18685,26319,3845,918
272949,961225,8151,74186,111291,66303,23050,3481,36077,50617,7532,1781
272983,161697,1329,12001,17879,10831,3640,601,5974,8379,1327,304
273077,129059,1070,9114,11094,8502,2330,433,4538,5085,996,196
273099,1077450,8663,78358,94140,70782,19366,3802,39653,44040,8267,1573
273100,324692,2707,18706,,17282,,1145,9541,,2022,
