run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
274593,356173,2966,37,584,29,96,1354,25,279,5,10
274594,304570,2567,31,474,42,95,1178,22,252,3,10
274595,607270,5122,65,893,64,185,2369,50,494,14,22
274596,2926955,25932,348,4754,331,950,11727,243,2436,47,100
274601,2040085,17726,251,3349,224,660,7966,166,1713,35,61
274653,10786343,93535,1339,17206,1172,3450,42765,810,9059,164,307
274657,9442539,80674,1152,14940,1061,3096,37832,754,8024,149,299
274667,253027,2149,32,407,34,75,1033,13,207,3,5
274669,5894022,50158,721,9140,629,1882,23820,466,5078,85,185
274671,8703426,74015,1116,13701,976,2795,34675,697,7336,151,280
