run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
274801,1405258,11163,91833,109193,82249,22062,5013,50737,54449,10287,1935
274802,334888,2653,22190,26428,19948,5275,1191,12012,13080,2449,491
274806,1262843,10200,83806,101200,74885,20462,4622,47022,51525,9624,1778
274815,1336236,10950,89621,107844,79991,21808,4861,51158,54864,10333,1874
274821,65050,558,4287,5375,3789,1073,220,2437,2580,459,105
274822,1034643,8433,70186,83458,62705,16963,3835,38676,42403,7875,1534
274877,604392,4745,39207,46948,35106,9494,2076,21219,22928,4398,786
274878,557098,4360,36160,43390,32445,8654,1941,19487,21488,3992,732
274882,2519516,20096,165835,199799,147591,40635,9081,88730,98709,18207,3417
274978,5363659,42249,350641,421368,313167,85810,19152,186934,207554,38299,7235
274979,2228272,17962,149589,178399,134004,36333,8241,78243,87759,16466,2988
275067,295764,2322,19589,23138,17530,4772,955,9907,11067,2115,394
275068,522001,4096,35624,40885,32385,8528,1866,17984,19902,3732,661
275073,3373441,27141,223501,269956,201712,54966,11899,115615,130094,24129,4501
275075,530104,4326,35513,43076,32171,8853,1877,18464,20766,3792,771
275076,656787,5303,43766,52922,39665,10632,2457,22373,25558,4771,880
275149,204821,1616,13537,16173,12240,3199,748,7831,8246,1588,268
275150,151531,1187,10211,12148,9165,2508,541,5883,6099,1194,226
275151,649591,5197,43270,51583,38945,10538,2383,25007,25998,5039,946
275173,1486323,11557,96907,115849,87702,23587,5258,57241,59440,11294,2089
275174,1418453,11322,95395,111747,86420,23059,5093,54215,56782,10765,2011
275177,904891,7405,60394,72684,54349,14830,3296,35296,37275,7076,1264
275239,580643,4601,36947,44588,33816,9147,2018,21579,22909,4246,790
275245,903060,7087,57956,69551,52999,14394,3297,34677,36634,6828,1292
275246,5616649,45135,366602,444629,334214,91205,20657,217984,230448,43645,8281
275247,476472,3876,31546,38347,28776,7805,1842,18426,19634,3684,742
275283,559724,4465,36170,42764,32486,8669,1988,19793,21182,4549,784
275314,288732,2198,18934,22119,17093,4483,973,10122,10971,2098,406
275324,863857,6734,55637,66805,50233,13683,2905,30732,33367,6627,1246
275326,776139,6226,50158,60505,45681,12276,2828,27677,30180,5808,1101
275328,1051263,8201,68177,82341,61919,16913,3774,38155,41199,7830,1433
275332,3590518,28733,237005,285831,215270,58254,13114,133990,144541,26855,5079
275360,604199,4869,41301,47063,37653,9671,2146,22029,23512,4597,838
275361,1934173,15653,126013,151594,114610,31022,7023,69189,76400,14234,2698
275369,240095,1937,15566,18774,14144,3838,913,9012,9590,1841,347
275372,2989519,23940,196470,238556,178366,48503,10893,107043,119666,21996,4097
275394,400368,3109,26142,31103,23582,6255,1367,14515,15918,3047,571
275401,1602802,12949,105366,126926,95460,25823,5658,55371,61775,11895,2177
275406,1316861,10612,87596,106462,79179,21780,4776,48997,53306,10174,1978
275443,2072260,16305,208564,166998,196419,39555,7386,74778,80799,15160,2813
275448,2343288,18855,154176,184997,140285,37787,8583,85184,92926,17280,3266
275452,96641,773,6335,7733,5763,1547,352,3585,3860,747,152
275453,1242611,10295,85768,101677,76163,20608,4523,45274,49713,9320,1726
275456,245096,2012,17361,20190,15282,4021,894,8998,9116,2831,437
275457,195201,1617,13847,16207,11902,3295,692,6621,7336,1634,305
275471,114233,906,8020,9623,6891,1888,403,3960,4562,900,184
275472,173912,1441,12101,14453,10869,2891,605,6088,6877,1323,245
275515,417833,3394,28369,33197,24926,6794,1396,12579,14945,2947,509
275558,945378,7448,62931,73732,55402,15067,3185,28228,33517,6465,1209
275559,91791,717,6137,7243,5479,1501,336,2831,3338,725,137
275612,1690430,13548,114829,135494,102111,27854,5880,59928,66011,12277,2292
275621,344907,2859,24131,28377,21241,5863,1194,12567,14064,2493,491
275622,969770,7910,67824,79880,59891,16386,3517,35677,39092,7418,1370
275623,545143,4377,38714,44446,34181,8951,2028,20063,22202,4166,774
275624,955459,7979,66898,78939,59142,16161,3535,34334,38486,7068,1382
275648,959427,7675,65380,76686,58081,15506,3403,34186,37499,7074,1336
