run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
276551,1847122,14688,104294,125834,96725,26644,14688,104294,125834,96725,26644
276552,1851720,15214,104765,126754,96797,26630,15214,104765,126754,96797,26630
276553,1494996,12016,83824,102264,77253,21216,12016,83824,102264,77253,21216
276556,87547,698,4823,5944,4485,1270,698,4823,5944,4485,1270
276557,658040,5371,37384,45255,34153,9298,5371,37384,45255,34153,9298
276608,1205219,9657,67571,81877,62884,17174,9657,67571,81877,62884,17174
276644,2872940,22915,163022,194422,150970,40581,22915,163022,194422,150970,40581
276670,88437,636,4889,5854,4568,1251,636,4889,5854,4568,1251
276671,90169,687,5086,6073,4624,1252,687,5086,6073,4624,1252
276672,89863,703,5031,6157,4700,1307,703,5031,6157,4700,1307
276674,476062,3862,26316,31684,24324,6513,3862,26316,31684,24324,6513
276675,1738360,13875,96773,117947,89895,24281,13875,96773,117947,89895,24281
276762,157877,1217,8396,10405,7758,2268,1217,8396,10405,7758,2268
276916,135080,1033,12222,14291,11287,3096,1033,12222,14291,11287,3096
276917,534691,4358,44380,49979,41606,10603,4358,44380,49979,41606,10603
276920,1034691,8459,92536,103745,84551,21514,8459,92536,103745,84551,21514
276967,49087,399,4872,5057,4271,1067,399,4872,5057,4271,1067
276969,58981,460,5896,6301,5188,1267,460,5896,6301,5188,1267
276970,142606,1159,13984,15102,12903,3096,1159,13984,15102,12903,3096
276971,433101,3521,41972,45359,38944,9584,3521,41972,45359,38944,9584
276972,430993,3437,43348,46206,39881,9722,3437,43348,46206,39881,9722
277015,108780,844,9648,11442,9020,2410,844,9648,11442,9020,2410
277016,3403599,26917,304022,357215,281291,74387,26917,304022,357215,281291,74387
277017,1465555,11778,131246,153760,123007,32579,11778,131246,153760,123007,32579
277037,374518,2915,33022,38792,30709,8045,2915,33022,38792,30709,8045
277073,220335,1752,19538,22761,18085,4672,1752,19538,22761,18085,4672
277076,1104479,8738,98894,115790,92104,24239,8738,98894,115790,92104,24239
277079,1940475,15551,172287,202924,161458,42848,15551,172287,202924,161458,42848
277087,563562,4524,50260,59149,46799,12357,4524,50260,59149,46799,12357
277091,309010,2392,27703,32601,25889,6851,2392,27703,32601,25889,6851
277121,1273195,10091,113701,133659,106097,28523,10091,113701,133659,106097,28523
277155,86446,641,7564,9044,7082,1953,641,7564,9044,7082,1953
277180,406301,3268,36085,42422,33709,8963,3268,36085,42422,33709,8963
277181,94421,724,8319,9768,7560,2034,724,8319,9768,7560,2034
277182,113834,908,9830,11876,9301,2504,908,9830,11876,9301,2504
277183,374732,2970,33054,38982,30614,8332,2970,33054,38982,30614,8332
277188,533449,4371,47317,56042,43883,11577,4371,47317,56042,43883,11577
277189,147943,1169,13290,15313,12259,3313,1169,13290,15313,12259,3313
277193,1009433,8076,90228,105848,83691,22242,8076,90228,105848,83691,22242
277194,527546,4200,47140,56056,44186,11589,4200,47140,56056,44186,11589
277196,322672,2512,29075,34378,27352,7406,2512,29075,34378,27352,7406
277197,955801,7625,85517,100275,79431,21071,7625,85517,100275,79431,21071
277256,471991,3842,43907,49296,41044,10351,3842,43907,49296,41044,10351
277257,883130,7125,83604,92796,77303,19258,7125,83604,92796,77303,19258
277262,474650,3882,45032,49642,41914,10546,3882,45032,49642,41914,10546
277293,225326,1828,22278,23889,20631,5015,1828,22278,23889,20631,5015
277310,1180144,9462,114758,123899,107167,26071,9462,114758,123899,107167,26071
277312,1410614,11375,138458,149119,129599,31643,11375,138458,149119,129599,31643
277314,363965,2978,36022,38328,33373,8003,2978,36022,38328,33373,8003
277360,2043223,16722,199157,215380,188088,45720,16722,199157,215380,188088,45720
277383,63166,500,5833,6571,5379,1388,500,5833,6571,5379,1388
277384,788752,6285,72122,83450,67127,17535,6285,72122,83450,67127,17535
277385,17394,144,1585,1773,1501,375,144,1585,1773,1501,375
277389,472856,3953,43627,49988,40575,10704,3953,43627,49988,40575,10704
277472,199827,1610,18114,21410,16813,4466,1610,18114,21410,16813,4466
277473,1286574,10709,116964,137477,109150,29105,10709,116964,137477,109150,29105
277476,110780,917,10023,11878,9281,2436,917,10023,11878,9281,2436
277477,484258,3973,43960,52147,41176,10960,3973,43960,52147,41176,10960
277478,274683,2224,24997,29742,23396,6218,2224,24997,29742,23396,6218
277479,563115,4602,52176,60557,48437,12718,4602,52176,60557,48437,12718
277721,85129,689,8670,11206,7933,2301,689,8670,11206,7933,2301
277722,47140,397,4804,6169,4422,1331,397,4804,6169,4422,1331
277723,792250,6579,63996,82521,58963,16861,6579,63996,82521,58963,16861
277725,278995,2354,22861,28898,21020,5996,2354,22861,28898,21020,5996
277745,1304082,10656,104215,135038,97019,27821,10656,104215,135038,97019,27821
277746,364209,2929,28919,38143,26803,7966,2929,28919,38143,26803,7966
277747,263500,2085,21233,27325,19392,5567,2085,21233,27325,19392,5567
277749,649818,5356,52407,67344,48159,14047,5356,52407,67344,48159,14047
277794,208594,1720,16812,21581,15744,4555,1720,16812,21581,15744,4555
277799,593291,5025,48030,62134,44222,12758,5025,48030,62134,44222,12758
277800,1116476,9118,87515,113269,78849,22669,9118,87515,113269,78849,22669
277801,1172684,9679,94609,119992,85038,24283,9679,94609,119992,85038,24283
277802,165076,1321,13429,16857,11950,3374,1321,13429,16857,11950,3374
277834,1475603,12001,118183,150945,104840,30384,12001,118183,150945,104840,30384
277841,175096,1449,16490,18073,14985,3819,1449,16490,18073,14985,3819
277842,1074160,8457,84691,109397,75843,21948,8457,84691,109397,75843,21948
277845,225326,1773,17761,22481,15874,4667,1773,17761,22481,15874,4667
277847,189756,1506,15382,19259,13873,3824,1506,15382,19259,13873,3824
277848,506097,4106,47683,59315,42729,11928,4106,47683,59315,42729,11928
277876,245820,1967,22163,28326,20082,5708,1967,22163,28326,20082,5708
277897,1349669,10723,124907,157048,111654,31243,10723,124907,157048,111654,31243
277898,366056,2910,33959,42842,30588,8528,2910,33959,42842,30588,8528
277899,388726,3102,36264,45508,32080,8912,3102,36264,45508,32080,8912
277900,333831,2728,30962,38914,27597,7824,2728,30962,38914,27597,7824
277901,365611,2917,34099,42984,29915,8471,2917,34099,42984,29915,8471
277903,409152,3309,37388,47202,33795,9324,3309,37388,47202,33795,9324
277907,346828,2730,31988,40746,28726,8212,2730,31988,40746,28726,8212
277930,75488,598,6853,8765,5990,1727,598,6853,8765,5990,1727
277952,65651,526,6096,7674,5478,1505,526,6096,7674,5478,1505
277987,223168,1776,20622,26096,18385,5043,1776,20622,26096,18385,5043
277989,456018,3764,42295,52637,37958,10448,3764,42295,52637,37958,10448
277996,1292871,10386,122424,151220,108882,30055,10386,122424,151220,108882,30055
278121,1412522,11525,134331,168474,118961,33210,11525,134331,168474,118961,33210
278122,290606,2345,27768,34555,24450,6806,2345,27768,34555,24450,6806
278126,1497284,12035,142330,178045,125641,35133,12035,142330,178045,125641,35133
278127,399046,3087,38175,47715,33662,9554,3087,38175,47715,33662,9554
278158,51237,405,4829,6019,4325,1188,405,4829,6019,4325,1188
278163,350396,2898,33811,41524,29885,8089,2898,33811,41524,29885,8089
278164,819147,6586,79012,97710,69165,19443,6586,79012,97710,69165,19443
278165,530745,4339,51625,63614,45503,12786,4339,51625,63614,45503,12786
278166,573536,4691,55958,68764,48476,13431,4691,55958,68764,48476,13431
278167,1607783,12900,155712,192923,137351,38269,12900,155712,192923,137351,38269
278189,906195,7471,87334,107236,77432,21560,7471,87334,107236,77432,21560
278191,154181,1185,14714,18145,13100,3548,1185,14714,18145,13100,3548
278215,1281115,10460,123207,152988,108987,30881,10460,123207,152988,108987,30881
278216,291644,2375,31454,35162,27863,7209,2375,31454,35162,27863,7209
