run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
278915,5872508,50733,737,9208,719,2061,26282,519,5642,111,221
278936,10497166,89352,1244,15995,1207,3531,45140,831,9368,178,358
278939,1839539,15749,205,2872,197,611,8026,161,1695,41,70
278941,5077134,43046,606,7849,598,1729,22102,411,4655,106,180
278959,254703,2205,19374,24374,18617,5386,1080,13320,14255,3163,532
278960,382357,3229,28923,36683,27721,8043,1599,18043,20325,4115,748
278963,1160983,9941,90120,113318,86034,25024,4815,51555,61424,11258,2181
278964,305361,2663,23629,29655,22680,6508,1272,13917,16371,2992,586
278999,63810,525,6692,7894,6358,1763,278,4366,4687,957,196
279000,358098,3067,34908,43968,33484,9605,1556,21417,24031,5078,942
279005,1582575,13458,154086,194998,147233,43021,6224,76842,95990,17910,3477
279007,128398,1106,19008,15986,16234,3725,479,6087,7552,1385,283
279008,1665563,14282,163092,205174,155959,44718,6522,79876,100481,18678,3514
279035,178331,1529,17326,21861,16532,4847,668,9919,10777,3177,494
279036,376358,3089,37552,46234,35650,10217,1503,17665,22089,4115,787
279041,1261865,10617,123861,155841,118358,34189,4905,57906,74419,13481,2626
279043,415889,3587,41844,51339,39936,11330,1624,19472,24417,4754,855
279044,1295599,11241,127035,159580,121052,34916,5220,60861,77387,14245,2827
279068,157846,1298,15235,19482,14430,4165,623,7175,9402,1698,354
279069,355359,2962,34577,42810,33062,9394,1452,16385,21039,3895,744
279073,121147,1022,12033,14694,11287,3163,498,5666,7168,1370,236
279074,1211392,10271,118304,148794,112370,32457,4729,56629,72586,13010,2542
279075,2328566,19920,229646,287311,219576,63542,9243,110775,139770,25378,4882
279106,233844,1900,22525,28580,21721,6416,914,10738,13870,2429,490
279107,344714,2906,34347,41495,32810,9174,1373,15783,20230,3628,682
279117,202313,1656,20156,24734,19018,5364,784,9632,11961,2338,414
279118,360805,3021,34646,43612,32885,9792,1390,16766,21035,4088,822
279122,697521,6011,67523,85003,64858,18699,2688,32243,41141,7534,1492
279123,163229,1399,16332,19861,15328,4429,604,7704,9651,1774,340
279130,1732264,14636,168718,211549,160768,46446,6766,79271,102313,18481,3550
279155,1355432,11528,129390,162384,122488,35175,5327,63999,80340,14840,2768
279157,906101,7506,86850,110215,82107,23982,3570,43328,54391,9879,1953
279199,768414,6353,74583,92658,70721,20316,2924,37142,45283,8473,1670
279201,332207,2753,33196,39738,31196,8789,1281,16568,19985,3909,724
279207,2178487,18213,210153,263328,199905,58101,8809,116250,135582,25636,4959
