run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
282544,1761673,15194,155883,196695,143255,40746,15194,155883,196695,143255,40746
282545,1391815,12100,122289,156624,113131,32472,12100,122289,156624,113131,32472
282546,147176,1241,12924,16723,11747,3448,1241,12924,16723,11747,3448
282573,3645653,31336,316975,406680,292613,84857,31336,316975,406680,292613,84857
282579,478301,4130,41481,53729,38702,11164,4130,41481,53729,38702,11164
282580,1586153,13580,137605,176547,127542,37200,13580,137605,176547,127542,37200
282606,753055,6288,66001,82700,60829,17435,6288,66001,82700,60829,17435
282607,1544852,12850,134440,170823,124713,36128,12850,134440,170823,124713,36128
282608,468838,3907,40412,51697,37539,10906,3907,40412,51697,37539,10906
282609,2035280,17257,175572,222839,163119,46877,17257,175572,222839,163119,46877
282618,795924,6668,69300,87557,64086,18518,6668,69300,87557,64086,18518
282620,547648,4670,47294,60125,43753,12564,4670,47294,60125,43753,12564
282622,752505,6386,64853,83575,60186,17654,6386,64853,83575,60186,17654
282651,347208,3053,29771,37658,27499,8048,3053,29771,37658,27499,8048
282653,452022,3837,39085,50186,35940,10529,3837,39085,50186,35940,10529
282666,1087893,9115,93833,119179,86847,25099,9115,93833,119179,86847,25099
282667,473806,4112,40839,52135,37557,10919,4112,40839,52135,37557,10919
282668,391468,3384,33973,43217,31570,9110,3384,33973,43217,31570,9110
282670,255128,2170,21963,27969,20450,5812,2170,21963,27969,20450,5812
282671,2114210,17995,182175,233793,169128,49063,17995,182175,233793,169128,49063
282673,385752,3259,33776,43182,31186,8978,3259,33776,43182,31186,8978
282676,613829,5242,52860,68051,49084,14345,5242,52860,68051,49084,14345
282677,205021,1779,17429,22756,15963,4787,1779,17429,22756,15963,4787
282700,132751,1136,11367,14666,10543,3061,1136,11367,14666,10543,3061
282702,524740,4395,45748,58508,42404,12365,4395,45748,58508,42404,12365
282703,1819772,15531,156960,201592,146051,42405,15531,156960,201592,146051,42405
282704,648538,5444,56716,72153,52593,15021,5444,56716,72153,52593,15021
