run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
286014,1134858,9314,66903,82486,66330,18998,9314,66903,82486,66330,18998
286025,158930,1310,9412,11672,9132,2714,1310,9412,11672,9132,2714
286064,2900987,23955,169946,208719,167981,48976,23955,169946,208719,167981,48976
286124,4482756,37342,291282,325677,287506,78589,37342,291282,325677,287506,78589
286127,684273,5777,44202,50469,43481,12108,5777,44202,50469,43481,12108
286129,472624,3946,28049,34364,27756,8120,3946,28049,34364,27756,8120
286130,124750,1045,8504,9412,8397,2375,1045,8504,9412,8397,2375
286159,551270,4471,35607,39564,35073,9449,4471,35607,39564,35073,9449
286198,489563,4030,27694,34789,27228,8076,4030,27694,34789,27228,8076
286201,423860,3398,24342,30529,23981,7027,3398,24342,30529,23981,7027
286202,1607524,13229,92340,116165,92275,27592,13229,92340,116165,92275,27592
286203,2569297,21830,149009,187205,147007,43616,21830,149009,187205,147007,43616
286229,1454177,11849,82327,103163,80979,23724,11849,82327,103163,80979,23724
286230,587576,4853,33247,42065,32582,9620,4853,33247,42065,32582,9620
286231,250988,1994,14529,17998,14299,4156,1994,14529,17998,14299,4156
286254,269072,2115,15661,18751,15427,4450,2115,15661,18751,15427,4450
286255,558723,4557,33232,39500,32711,9342,4557,33232,39500,32711,9342
286257,1931281,16066,111465,138992,110145,32651,16066,111465,138992,110145,32651
286258,2374676,20031,136854,171027,134692,39578,20031,136854,171027,134692,39578
286261,234754,1980,14057,17081,13907,4033,1980,14057,17081,13907,4033
286263,565269,4850,32227,40791,31653,9310,4850,32227,40791,31653,9310
286282,2044753,16386,114790,142627,113005,32491,16386,114790,142627,113005,32491
286308,387485,3070,22173,27302,21872,6326,3070,22173,27302,21872,6326
286309,193343,1530,10792,13207,10718,3056,1530,10792,13207,10718,3056
286310,138599,1074,8893,9785,8776,2336,1074,8893,9785,8776,2336
286311,113326,916,6709,8033,6481,1817,916,6709,8033,6481,1817
286314,132716,1128,7727,9755,7502,2231,1128,7727,9755,7502,2231
286348,1615720,13606,100657,119431,98630,27888,13606,100657,119431,98630,27888
286349,185206,1518,10940,13415,10626,3027,1518,10940,13415,10626,3027
