run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
286380,155513,1235,9155,11189,9095,2608,592,5954,5979,1478,249
286426,271097,2304,13851,16360,13519,3674,1105,8816,9362,1827,330
286427,492632,4159,29255,29457,28697,6748,2053,18042,16615,3861,585
286428,1512355,12993,81386,91219,80111,21239,6358,54516,53689,10924,1896
286454,3997128,34028,276289,299319,271238,69914,16983,180691,174461,36271,6285
286455,238239,2032,16036,17767,15489,4061,971,10266,10206,2330,385
286482,46609,377,3010,3295,2948,777,171,1846,2000,382,61
286501,535126,4293,32425,38883,31662,9086,2161,20090,22298,4079,845
286502,2564928,21380,152594,188572,150446,43661,10638,96151,109292,19614,3769
286508,518965,4383,31136,38461,30345,8761,2142,17510,20926,3678,729
286509,645939,5359,38592,47745,37866,11068,2625,23161,26533,4826,847
286511,41887,352,2537,3109,2445,737,161,1655,1849,327,53
286566,378335,3035,22139,27633,21768,6299,1572,14068,16012,2847,564
286567,675699,5700,40450,49558,39989,11450,2806,23943,27783,5002,962
286568,1037636,8446,61457,75839,60409,17434,4221,35742,41907,7498,1421
286569,471446,4023,28045,34694,27273,7984,1894,15756,18732,3309,670
286591,96373,728,5451,6871,5336,1563,364,3490,3913,741,150
286592,3746330,30620,218157,269618,214767,63145,15398,141387,157894,28306,5491
286653,5304059,43704,308113,383484,305111,89480,21874,201488,225197,40196,7864
286661,1240173,10220,71331,90780,71805,21549,5207,47183,52585,9499,1888
286695,1661764,13479,94857,118742,96230,28865,6773,62080,67634,13061,2401
286731,1930836,16055,103538,114983,104612,28470,8029,61736,63053,12728,2161
286799,1930978,15757,111158,137344,112999,34106,7340,60628,73014,13088,2501
286801,1484657,12132,87165,107851,88001,26327,5739,45995,55758,9956,1964
286846,572187,4603,33026,40734,33476,9998,2179,17298,20932,3723,735
286850,513949,4003,29933,37074,29973,9166,1937,15412,18813,3339,644
286852,2742815,22581,159582,198922,161978,49623,10696,82811,102495,18449,3638
286874,2918820,23687,170315,210031,172488,52429,11363,95752,110175,24606,4223
286876,2966773,24648,178383,217324,180262,53400,11519,87751,108728,19450,3803
286877,561164,4627,33609,41289,34151,10382,2161,16694,20532,3601,731
286907,1169548,9443,66745,82701,68231,20436,4485,34425,42604,7556,1532
286910,1031861,8367,61536,74242,62171,18605,3895,30864,37769,6736,1325
286911,2584760,21264,150163,188311,152098,46348,10078,78778,95914,17104,3305
286930,1466437,11882,83142,104089,83611,25150,5575,42565,52522,9479,1820
286931,3107485,25338,177641,223456,179690,54551,11912,94477,116061,20527,3948
286932,332023,2799,19132,23975,19329,5809,1362,10664,12927,2150,429
286936,236280,1926,15388,17068,15741,4278,996,8422,9168,1838,312
286937,1530860,12686,88716,111145,90566,27713,6098,49626,60171,10549,2041
