run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
287000,3745007,30252,215199,268076,217606,65103,30252,215199,268076,217606,65103
287021,482215,3933,24866,31310,25095,7634,3933,24866,31310,25095,7634
287063,321413,2563,16480,20792,16676,5047,2563,16480,20792,16676,5047
287064,711526,5648,36712,46342,37371,11442,5648,36712,46342,37371,11442
287071,1595937,13066,85657,105969,86788,26040,13066,85657,105969,86788,26040
287072,2064758,16732,108997,138762,110694,34050,16732,108997,138762,110694,34050
287077,413554,3427,21879,27746,22233,6907,3427,21879,27746,22233,6907
287137,1561391,12543,80450,101012,81661,24744,12543,80450,101012,81661,24744
287155,2829296,22938,148134,186085,150280,45979,22938,148134,186085,150280,45979
287185,57303,464,3074,3782,3113,947,464,3074,3782,3113,947
287201,2303167,18455,119723,150555,121976,37157,18455,119723,150555,121976,37157
287208,577946,4648,35161,38956,35510,9800,4648,35161,38956,35510,9800
287209,619239,5014,32526,41259,32945,10122,5014,32526,41259,32945,10122
287248,644948,5119,33339,41529,33524,10203,5119,33339,41529,33524,10203
287249,2380611,18993,124290,156292,124471,37950,18993,124290,156292,124471,37950
287250,252046,2043,13246,16611,13112,4116,2043,13246,16611,13112,4116
287254,419962,3477,22253,27997,22377,6825,3477,22253,27997,22377,6825
287283,1700448,13423,88324,111379,88943,27163,13423,88324,111379,88943,27163
287323,144938,1213,8397,8465,8414,2086,1213,8397,8465,8414,2086
287324,134577,1113,6825,7862,6985,1921,1113,6825,7862,6985,1921
287325,1270492,10347,65166,74247,65251,17944,10347,65166,74247,65251,17944
287343,500546,4017,25413,31905,25533,7814,4017,25413,31905,25533,7814
287346,652926,5184,34666,42796,34626,10624,5184,34666,42796,34626,10624
287347,621806,5069,32344,40909,32309,9835,5069,32344,40909,32309,9835
287353,591289,4799,31282,39556,31865,9614,4799,31282,39556,31865,9614
287355,618073,4856,32789,41537,33457,10186,4856,32789,41537,33457,10186
287356,512994,4174,28743,34254,28857,8146,4174,28743,34254,28857,8146
287360,898125,7339,46748,60163,47614,14684,7339,46748,60163,47614,14684
287380,273461,2115,14041,17655,14145,4362,2115,14041,17655,14145,4362
287381,529174,4258,28486,34535,28454,8438,4258,28486,34535,28454,8438
287385,498556,3966,25894,33043,26136,8159,3966,25894,33043,26136,8159
287387,2581192,20875,134967,171449,135345,41567,20875,134967,171449,135345,41567
287388,1289281,10539,67093,85765,66868,20690,10539,67093,85765,66868,20690
287389,602438,4944,31392,40234,31987,9775,4944,31392,40234,31987,9775
287413,2056353,16424,106365,134415,107957,33224,16424,106365,134415,107957,33224
287480,4223180,34127,218924,278005,219479,67506,34127,218924,278005,219479,67506
287481,304627,2496,15998,20564,15964,4928,2496,15998,20564,15964,4928
287484,505685,4006,26448,33645,26674,8124,4006,26448,33645,26674,8124
287486,989282,7964,51801,66102,51660,15919,7964,51801,66102,51660,15919
287513,194253,1508,12348,12744,12478,3123,1508,12348,12744,12478,3123
287516,1085077,8741,56045,70999,56761,17352,8741,56045,70999,56761,17352
287517,102100,818,5127,6740,5150,1660,818,5127,6740,5150,1660
287518,2056147,16680,107192,136586,107060,33233,16680,107192,136586,107060,33233
287520,500647,4013,26500,33497,26200,8155,4013,26500,33497,26200,8155
287521,575003,4569,30406,37863,30310,9180,4569,30406,37863,30310,9180
287524,953512,7706,49581,63138,49381,15466,7706,49581,63138,49381,15466
287573,653240,5240,33476,42685,33565,10313,5240,33476,42685,33565,10313
287575,273861,2211,14032,17868,14200,4388,2211,14032,17868,14200,4388
287576,562188,4389,29018,36811,29169,8963,4389,29018,36811,29169,8963
287578,2860835,23273,147549,188881,149065,46150,23273,147549,188881,149065,46150
287654,1502046,11831,78126,97784,78586,24049,11831,78126,97784,78586,24049
287656,861840,6911,44625,56271,44715,13541,6911,44625,56271,44715,13541
287657,1436190,11450,73364,93513,73971,22727,11450,73364,93513,73971,22727
287658,634014,5015,38673,42142,38808,10676,5015,38673,42142,38808,10676
