run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
265756,1331823,53053,13878,53899,4805,9542,53053,13878,53899,4805,9542
265785,1406851,48327,216351,144525,72415,44268,48327,216351,144525,72415,44268
265787,1521971,51905,177410,18788,59061,5680,51905,177410,18788,59061,5680
265788,659123,23264,81356,7901,27307,2373,23264,81356,7901,27307,2373
265789,983965,34162,99716,11568,33255,3549,34162,99716,11568,33255,3549
265792,363354,12698,30057,4530,10149,1318,12698,30057,4530,10149,1318
265795,491641,19179,43240,6827,14364,2075,19179,43240,6827,14364,2075
265797,376070,13184,26329,4603,8731,1326,13184,26329,4603,8731,1326
265838,254575,8807,436,1523,161,499,8807,436,1523,161,499
265840,529402,18238,887,3125,295,953,18238,887,3125,295,953
265841,1026655,35183,136962,12581,46147,3817,35183,136962,12581,46147,3817
266022,1196241,41600,1345350,36497,1223948,27768,41600,1345350,36497,1223948,27768
266023,552496,18327,75284,6347,23636,1862,18327,75284,6347,23636,1862
266025,5738528,192905,730482,65404,225947,18653,192905,730482,65404,225947,18653
266034,523347,17582,62402,5708,19802,1652,17582,62402,5708,19802,1652
266081,231109,7908,30412,2591,10305,799,7908,30412,2591,10305,799
266083,33356,3233,11126,1111,3757,331,3233,11126,1111,3757,331
266084,56584,5491,17732,1790,6068,575,5491,17732,1790,6068,575
266085,167078,16247,50081,5129,17004,1606,16247,50081,5129,17004,1606
266086,790470,27342,78772,9064,26703,2805,27342,78772,9064,26703,2805
266117,1338042,45929,113688,14929,38197,4675,45929,113688,14929,38197,4675
266187,328168,11601,74118,3866,24938,1204,11601,74118,3866,24938,1204
266189,80560,2802,15198,894,5047,278,2802,15198,894,5047,278
266193,351831,11945,194761,6793,160605,4215,11945,194761,6793,160605,4215
266196,365092,12264,47473,4140,15164,1235,12264,47473,4140,15164,1235
266197,662198,22297,76949,7351,24471,2073,22297,76949,7351,24471,2073
266208,1332115,47282,96589,15410,30581,4330,47282,96589,15410,30581,4330
266234,792459,26650,119984,9024,38348,2641,26650,119984,9024,38348,2641
266235,626980,21003,334978,17096,106505,4884,21003,334978,17096,106505,4884
266296,344152,11550,64370,3791,20618,1141,11550,64370,3791,20618,1141
266299,283313,9378,58355,3078,18679,873,9378,58355,3078,18679,873
266304,195932,6548,40874,2168,13036,631,6548,40874,2168,13036,631
266312,1128160,37252,172386,12486,54969,3669,37252,172386,12486,54969,3669
266313,2213342,73541,345468,24239,110194,6943,73541,345468,24239,110194,6943
