run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
266437,155710,1592,21181,1754,6827,494,1592,21181,1754,6827,494
266438,302328,2793,37162,3373,11772,940,2793,37162,3373,11772,940
266439,189373,1800,21388,2153,6836,599,1800,21388,2153,6836,599
266441,915034,9031,90835,10279,29211,2895,9031,90835,10279,29211,2895
266470,782679,7385,165188,8661,52658,2481,7385,165188,8661,52658,2481
266472,364358,3503,66607,4129,21186,1117,3503,66607,4129,21186,1117
266477,147584,1398,23889,1685,7490,453,1398,23889,1685,7490,453
266479,787880,7302,121778,8539,38329,2312,7302,121778,8539,38329,2312
266480,4017072,37499,556963,43727,177337,12363,37499,556963,43727,177337,12363
266514,532570,5180,133446,6024,42493,1622,5180,133446,6024,42493,1622
266516,129890,1232,27665,1401,8993,372,1232,27665,1401,8993,372
266518,1151773,10826,233582,12913,74714,3589,10826,233582,12913,74714,3589
266520,326222,3061,80815,3979,45123,1555,3061,80815,3979,45123,1555
266522,611275,5750,94349,6789,30043,1860,5750,94349,6789,30043,1860
266523,492996,4561,69496,5440,21925,1477,4561,69496,5440,21925,1477
266525,491728,4614,65392,5425,21055,1576,4614,65392,5425,21055,1576
266526,126508,1170,15661,1352,5005,372,1170,15661,1352,5005,372
266534,481199,4485,51599,5284,16515,1476,4485,51599,5284,16515,1476
266539,1107163,10230,110205,11888,34890,3356,10230,110205,11888,34890,3356
266543,867384,8174,93214,9441,29642,2552,8174,93214,9441,29642,2552
266549,313803,2935,28298,3429,9041,978,2935,28298,3429,9041,978
266584,445380,4253,119763,5161,38846,1442,4253,119763,5161,38846,1442
266585,100668,942,24235,1157,7739,330,942,24235,1157,7739,330
266587,443165,4131,101472,5044,32469,1449,4131,101472,5044,32469,1449
266588,333623,3193,68547,3659,22573,1036,3193,68547,3659,22573,1036
266590,101833,1012,19479,1207,6409,349,1012,19479,1207,6409,349
266591,195611,1779,36347,2157,11970,661,1779,36347,2157,11970,661
266592,44646,411,8022,480,2655,146,411,8022,480,2655,146
266595,1588385,14431,182949,12062,58255,2683,14431,182949,12062,58255,2683
266596,154626,1473,18608,1675,6044,476,1473,18608,1675,6044,476
266614,1311979,12560,285267,14661,92340,4231,12560,285267,14661,92340,4231
266615,298370,2829,50637,4940,16419,1416,2829,50637,4940,16419,1416
266617,128645,1198,20311,2202,6595,624,1198,20311,2202,6595,624
266618,1256943,11920,196048,20770,63341,5974,11920,196048,20770,63341,5974
266619,169596,1541,22069,2808,7211,774,1541,22069,2808,7211,774
266621,945941,9042,116886,15869,37932,4529,9042,116886,15869,37932,4529
266625,155412,1518,17184,2589,5606,725,1518,17184,2589,5606,725
